iter	Logloss
0	0.6776652641
1	0.6660066328
2	0.6550133132
3	0.6474549205
4	0.6391214434
5	0.6323234348
6	0.6259038081
7	0.621510531
8	0.6177667119
9	0.6145726591
10	0.6108771643
11	0.6082904271
12	0.6060508367
13	0.6037180336
14	0.6016948873
15	0.6000203886
16	0.5977694305
17	0.5966662837
18	0.5954341538
19	0.5943785195
20	0.5931667391
21	0.5922403046
22	0.5912712031
23	0.5903493311
24	0.5894019941
25	0.5885094102
26	0.5878733704
27	0.5871308999
28	0.5863607839
29	0.5856517314
30	0.5843805518
31	0.5835529469
32	0.5830730765
33	0.5826041207
34	0.5821351463
35	0.5815778607
36	0.5810716898
37	0.5803594975
38	0.5798748288
39	0.5793464422
40	0.5789693228
41	0.57867316
42	0.5782851035
43	0.5778180007
44	0.5775587322
45	0.5771190898
46	0.576842636
47	0.5762837667
48	0.5759680437
49	0.5752179936
50	0.574692782
51	0.5742737294
52	0.5739242497
53	0.5734240259
54	0.5731773034
55	0.5730173636
56	0.5727351163
57	0.5723959827
58	0.5720314917
59	0.5718035813
60	0.5713368922
61	0.5710523566
62	0.5706657938
63	0.5702581654
64	0.5699813673
65	0.5696607748
66	0.569427532
67	0.5689276654
68	0.5686061437
69	0.5682699837
70	0.5679627807
71	0.5676759701
72	0.5672922828
73	0.5669757851
74	0.5666118271
75	0.5662615821
76	0.5657939413
77	0.5654374282
78	0.5650422824
79	0.5648216825
80	0.5645850089
81	0.564221548
82	0.5639307061
83	0.5636812356
84	0.5634464233
85	0.5631324785
86	0.5628088096
87	0.5625629502
88	0.5623013728
89	0.5620345269
90	0.5615960894
91	0.5611618161
92	0.5608733364
93	0.5605495958
94	0.5601827229
95	0.5598346369
96	0.5594158019
97	0.5591548969
98	0.5589385429
99	0.5585269074
100	0.5581503787
101	0.5578711402
102	0.5574578346
103	0.5570457728
104	0.5566607961
105	0.5563966714
106	0.5560867279
107	0.5557673435
108	0.5554380541
109	0.5550544506
110	0.5547335684
111	0.5543589266
112	0.5540536701
113	0.5537210197
114	0.5534726187
115	0.55312546
116	0.5527814291
117	0.5523224848
118	0.552011884
119	0.5515251876
120	0.5510968435
121	0.5508274664
122	0.5504433136
123	0.5502395456
124	0.5499117938
125	0.5496619671
126	0.5493199432
127	0.5489263821
128	0.5485826595
129	0.5482196949
130	0.5477671291
131	0.5475217389
132	0.5472485696
133	0.5468824471
134	0.5464985829
135	0.5461405305
136	0.545855153
137	0.5456190414
138	0.5454190385
139	0.545090213
140	0.5447783258
141	0.5444365232
142	0.5441459662
143	0.543797915
144	0.5435734074
145	0.5431721134
146	0.5428105401
147	0.5424617805
148	0.54212852
149	0.5417690057
150	0.5414751993
151	0.5412913695
152	0.5411556854
153	0.5408414393
154	0.5405873307
155	0.5403264747
156	0.5400224491
157	0.5396049462
158	0.5393199081
159	0.5388860175
160	0.5385700351
161	0.5382765134
162	0.5379472891
163	0.5376763778
164	0.5373929987
165	0.5371787681
166	0.5369270009
167	0.5365565889
168	0.5362602984
169	0.5360250007
170	0.5357133647
171	0.5354645738
172	0.535176084
173	0.5348827938
174	0.5346483449
175	0.5343905631
176	0.5341263042
177	0.5338395755
178	0.5335446389
179	0.5332964036
180	0.5329889636
181	0.5327460826
182	0.5325542459
183	0.5323078686
184	0.5319846287
185	0.5316681964
186	0.5313498845
187	0.531076278
188	0.530850675
189	0.5305752298
190	0.5302578999
191	0.5298996465
192	0.5296917808
193	0.5294240697
194	0.5290979794
195	0.5288066415
196	0.5285853865
197	0.5282956947
198	0.5280463774
199	0.5278643613
200	0.5275879139
201	0.5273909106
202	0.5271989255
203	0.5268191476
204	0.5265312929
205	0.5262165896
206	0.5259968699
207	0.5257123769
208	0.525438352
209	0.5251679178
210	0.5247909393
