iter	Passed	Remaining
0	4	1385
1	8	1201
2	11	1141
3	15	1133
4	19	1122
5	22	1120
6	26	1123
7	30	1123
8	34	1106
9	37	1097
10	42	1119
11	46	1123
12	53	1173
13	57	1168
14	61	1162
15	65	1155
16	69	1150
17	73	1156
18	79	1183
19	84	1186
20	90	1204
21	97	1233
22	114	1382
23	137	1581
24	144	1590
25	153	1622
26	163	1656
27	169	1642
28	173	1617
29	181	1629
30	186	1617
31	190	1591
32	193	1568
33	197	1544
34	200	1520
35	204	1498
36	207	1477
37	211	1457
38	216	1449
39	224	1457
40	230	1457
41	235	1446
42	239	1432
43	247	1438
44	254	1444
45	262	1449
46	267	1441
47	272	1428
48	276	1415
49	280	1402
50	284	1387
51	288	1374
52	292	1361
53	296	1349
54	300	1338
55	303	1323
56	307	1310
57	311	1298
58	314	1284
59	318	1273
60	322	1263
61	326	1252
62	329	1241
63	333	1230
64	337	1219
65	340	1208
66	344	1196
67	348	1187
68	351	1176
69	355	1166
70	358	1157
71	362	1148
72	366	1138
73	369	1129
74	373	1120
75	377	1111
76	380	1102
77	384	1092
78	387	1084
79	391	1075
80	394	1067
81	398	1058
82	401	1050
83	405	1042
84	408	1034
85	412	1026
86	416	1019
87	420	1012
88	423	1004
89	427	997
90	430	988
91	434	981
92	437	974
93	441	967
94	444	959
95	448	952
96	451	945
97	455	939
98	460	934
99	464	928
100	467	922
101	471	915
102	476	910
103	481	907
104	485	902
105	491	900
106	497	896
107	501	891
108	505	885
109	508	878
110	511	871
111	515	865
112	519	860
113	523	854
114	527	848
115	531	842
116	534	836
117	538	830
118	542	825
119	546	819
120	550	814
121	554	809
122	559	804
123	562	798
124	566	793
125	570	787
126	573	781
127	577	776
128	581	770
129	584	764
130	588	759
131	592	753
132	596	748
133	599	743
134	603	737
135	607	732
136	611	727
137	615	722
138	618	716
139	622	711
140	625	705
141	629	700
142	633	695
143	637	690
144	640	684
145	644	679
146	649	676
147	653	671
148	658	666
149	662	662
150	667	658
151	670	653
152	676	649
153	680	645
154	684	640
155	690	637
156	694	632
157	698	627
158	702	622
159	706	618
160	710	613
161	714	608
162	718	603
163	722	598
164	726	594
165	730	589
166	733	584
167	737	579
168	741	574
169	745	570
170	749	565
171	753	560
172	757	556
173	761	551
174	765	546
175	769	542
176	773	537
177	776	532
178	780	527
179	784	522
180	788	518
181	792	514
182	797	509
183	813	512
184	818	508
185	824	505
186	829	501
187	833	496
188	837	491
189	841	486
190	845	482
191	849	477
192	853	473
193	860	469
194	878	473
195	889	472
196	895	468
197	899	463
198	905	459
199	912	456
200	915	451
201	919	446
202	923	441
203	926	436
204	930	431
205	934	426
206	938	421
207	942	416
208	946	412
209	950	407
210	954	402
211	959	398
212	964	393
213	968	389
214	972	384
215	977	380
216	981	375
217	985	370
218	988	365
219	992	360
220	995	355
221	999	351
222	1002	346
223	1006	341
224	1010	336
225	1014	332
226	1017	327
227	1021	322
228	1025	318
229	1030	313
230	1034	308
231	1038	304
232	1042	299
233	1046	295
234	1051	290
235	1055	286
236	1059	281
237	1063	277
238	1067	272
239	1071	267
240	1075	263
241	1079	258
242	1083	254
243	1087	249
244	1090	244
245	1094	240
246	1097	235
247	1101	230
248	1105	226
249	1108	221
250	1112	217
251	1115	212
252	1119	207
253	1123	203
254	1127	198
255	1130	194
256	1134	189
257	1138	185
258	1142	180
259	1147	176
260	1151	172
261	1155	167
262	1159	163
263	1163	158
264	1166	154
265	1171	149
266	1177	145
267	1182	141
268	1188	136
269	1194	132
270	1198	128
271	1205	124
272	1210	119
273	1219	115
274	1224	111
275	1228	106
276	1232	102
277	1236	97
278	1240	93
279	1244	88
280	1249	84
281	1253	79
282	1257	75
283	1262	71
284	1267	66
285	1274	62
286	1279	57
287	1286	53
288	1292	49
289	1297	44
290	1303	40
291	1308	35
292	1312	31
293	1317	26
294	1321	22
295	1325	17
296	1329	13
297	1334	8
298	1339	4
299	1342	0
